"","settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters"
"1","L_1","L",1,0.770952380952381,0.748206686930091,0.0125697828610847,0.0468186423505572,0.0104717223602886,0.02,0.0016,0.13,0.026,2227.88274810779,7.06721725793204,0.00307634111359999,6
"2","LQ_1","LQ",1,0.772046605876393,0.757244174265451,0.00753276608062871,0.0420499831138129,0.0054247483752819,0.01,4e-04,0.13,0.0174666666666667,2232.06315485112,11.2476240012552,0.000380426445312615,10
"3","L_1.5","L",1.5,0.771144883485309,0.749270516717325,0.0130621221779794,0.0464066193853428,0.0107284704194036,0.02,0.0016,0.12,0.0266666666666667,2225.56692725636,4.75139640649331,0.0097928386289875,5
"4","LQ_1.5","LQ",1.5,0.771965552178318,0.757801418439716,0.00852503179633103,0.0439648767308342,0.00583784387856042,0.02,0.0016,0.15,0.0238666666666667,2229.86240606739,9.04687521752476,0.00114329216078622,9
"5","L_2","L",2,0.771570415400203,0.750729483282675,0.0136849989067605,0.0455859506923337,0.0109305235539213,0.02,0.0016,0.12,0.0266666666666667,2225.53885176257,4.723320912703,0.00993127743010238,5
"6","LQ_2","LQ",2,0.772492401215805,0.755207700101317,0.0103582890648337,0.0459270516717325,0.00735122889354928,0.02,0.0016,0.14,0.0304,2225.1495567319,4.33402588203626,0.01206533697478,7
"7","L_2.5","L",2.5,0.771063829787234,0.752289766970618,0.0141580938215032,0.0445390070921986,0.0111381158710655,0.02,0.0016,0.11,0.0292,2225.54251868375,4.72698783388796,0.00991308550648497,5
"8","LQ_2.5","LQ",2.5,0.772887537993921,0.752127659574468,0.0135301715616079,0.0463796014859845,0.0104445541789977,0.02,0.0016,0.11,0.0292,2225.18984591677,4.37431506690837,0.0118247174073672,7
"9","L_3","L",3,0.7709726443769,0.753404255319149,0.0146152958059639,0.0436136440391759,0.0112029255704092,0.02,0.0016,0.11,0.0292,2225.57284251408,4.75731166421838,0.00976391783637997,5
"10","LQ_3","LQ",3,0.773363728470111,0.752158054711246,0.0150829389972377,0.0449172576832151,0.0118903869862416,0.02,0.0016,0.11,0.0292,2220.81553084986,0,0.105356471785999,5
"11","L_3.5","L",3.5,0.770921985815603,0.753637284701114,0.0147520317316605,0.0432556568726781,0.011247870954629,0.02,0.0016,0.11,0.0292,2225.63182876825,4.81629791839123,0.00948015447015136,5
"12","LQ_3.5","LQ",3.5,0.773829787234042,0.753100303951368,0.0148640074771421,0.0436575481256332,0.0115822281007368,0.02,0.0016,0.11,0.0292,2221.09033542987,0.274804580003547,0.0918307565007087,5
"13","L_4","L",4,0.770587639311044,0.753809523809524,0.0148405536411033,0.0429550827423168,0.0112561529878286,0.02,0.0016,0.11,0.0292,2225.71942121666,4.90389036680199,0.00907392019458256,5
"14","LQ_4","LQ",4,0.774072948328267,0.753617021276596,0.0148860819837215,0.0429888551165147,0.0114058748533365,0.02,0.0016,0.11,0.0292,2221.4587758116,0.643244961741402,0.0763804740907172,5
"15","L_4.5","L",4.5,0.769797365754813,0.754164133738602,0.0148236496952787,0.0425599459642013,0.0111460262028457,0.02,0.0016,0.11,0.0292,2225.82829876308,5.01276791321743,0.00859315205198618,5
"16","LQ_4.5","LQ",4.5,0.773890577507599,0.753839918946302,0.0150996806508932,0.0425531914893617,0.0113181645758248,0.02,0.0016,0.11,0.0292,2221.91664168067,1.10111083081119,0.0607516446476775,5
"17","L_5","L",5,0.769554204660588,0.754133738601824,0.0148454562811997,0.0423674434312732,0.0110857316338335,0.02,0.0016,0.11,0.0292,2223.59898068856,2.78344983869601,0.0261964695136942,4
"18","LQ_5","LQ",5,0.77354609929078,0.754113475177305,0.0150587088071987,0.0420297196892942,0.0111409918607552,0.02,0.0016,0.11,0.0292,2222.4663947708,1.6508639209369,0.0461509529257562,5
"19","L_5.5","L",5.5,0.769432624113475,0.754154002026342,0.0147840180707865,0.0420297196892942,0.0109727735468213,0.02,0.0016,0.11,0.0292,2223.58522018262,2.76968933275703,0.0263773293179995,4
